id,x_survey,y_survey,E,N,lon,lat
R_15_287,4419.4173824159225,14079.127392307828,828573.4993821211,489987.01004892,-72.03972668018781,4.427046058731503
R_15_288,4419.4173824159225,14128.183585312385,828573.4993821211,490036.06624192453,-72.03972491745537,4.427489262780176
R_15_289,4419.4173824159225,14177.23977831694,828573.4993821211,490085.1224349291,-72.03972315454475,4.427932466822844
R_15_290,4419.4173824159225,14226.295971321497,828573.4993821211,490134.17862793367,-72.03972139145587,4.4283756708595154
R_15_291,4419.4173824159225,14275.352164326054,828573.4993821211,490183.2348209382,-72.03971962818882,4.428818874890185
R_15_292,4419.4173824159225,14324.40835733061,828573.4993821211,490232.29101394274,-72.03971786474354,4.429262078914851
R_15_293,4419.4173824159225,14373.464550335168,828573.4993821211,490281.34720694734,-72.03971610112005,4.429705282933517
R_15_294,4419.4173824159225,14422.520743339725,828573.4993821211,490330.4033999519,-72.03971433731836,4.430148486946179
R_15_295,4419.4173824159225,14471.576936344281,828573.4993821211,490379.4595929564,-72.03971257333843,4.430591690952837
R_16_0,4714.045207910317,0.0,828868.1272076155,475907.88265661214,-72.03757362068825,4.299835927555826
R_16_1,4714.045207910317,49.05619300455689,828868.1272076155,475956.9388496167,-72.03757190755258,4.300279132233832
R_16_2,4714.045207910317,98.11238600911378,828868.1272076155,476005.9950426213,-72.03757019423867,4.300722336906013
R_16_3,4714.045207910317,147.16857901367067,828868.1272076155,476055.0512356258,-72.03756848074656,4.301165541572362
R_16_4,4714.045207910317,196.22477201822755,828868.1272076155,476104.10742863035,-72.03756676707621,4.301608746232882
R_16_5,4714.045207910317,245.28096502278444,828868.1272076155,476153.16362163494,-72.03756505322764,4.302051950887568
R_16_6,4714.045207910317,294.33715802734133,828868.1272076155,476202.2198146395,-72.03756333920086,4.302495155536423
R_16_7,4714.045207910317,343.3933510318982,828868.1272076155,476251.276007644,-72.03756162499585,4.302938360179444
R_16_8,4714.045207910317,392.4495440364551,828868.1272076155,476300.3322006486,-72.03755991061261,4.303381564816633
R_16_9,4714.045207910317,441.505737041012,828868.1272076155,476349.38839365315,-72.03755819605115,4.303824769447989
R_16_10,4714.045207910317,490.5619300455689,828868.1272076155,476398.4445866577,-72.03755648131147,4.304267974073509
R_16_11,4714.045207910317,539.6181230501257,828868.1272076155,476447.5007796623,-72.03755476639357,4.304711178693196
R_16_12,4714.045207910317,588.6743160546827,828868.1272076155,476496.5569726668,-72.03755305129744,4.3051543833070465
R_16_13,4714.045207910317,637.7305090592396,828868.1272076155,476545.61316567136,-72.03755133602309,4.305597587915061
R_16_14,4714.045207910317,686.7867020637964,828868.1272076155,476594.66935867595,-72.03754962057049,4.306040792517237
R_16_15,4714.045207910317,735.8428950683533,828868.1272076155,476643.7255516805,-72.03754790493969,4.306483997113577
R_16_16,4714.045207910317,784.8990880729102,828868.1272076155,476692.781744685,-72.03754618913065,4.306927201704079
R_16_17,4714.045207910317,833.9552810774671,828868.1272076155,476741.8379376896,-72.03754447314338,4.307370406288743
R_16_18,4714.045207910317,883.011474082024,828868.1272076155,476790.89413069416,-72.03754275697789,4.307813610867567
R_16_19,4714.045207910317,932.0676670865809,828868.1272076155,476839.95032369875,-72.03754104063418,4.308256815440552
R_16_20,4714.045207910317,981.1238600911378,828868.1272076155,476889.0065167033,-72.03753932411222,4.308700020007695
R_16_21,4714.045207910317,1030.1800530956946,828868.1272076155,476938.0627097078,-72.03753760741203,4.309143224568999
R_16_22,4714.045207910317,1079.2362461002515,828868.1272076155,476987.1189027124,-72.03753589053363,4.309586429124461
R_16_23,4714.045207910317,1128.2924391048084,828868.1272076155,477036.17509571696,-72.03753417347698,4.310029633674079
R_16_24,4714.045207910317,1177.3486321093653,828868.1272076155,477085.2312887215,-72.0375324562421,4.310472838217855
R_16_25,4714.045207910317,1226.4048251139222,828868.1272076155,477134.2874817261,-72.037530738829,4.310916042755788
