id,E,N,lon,lat
361,620339.2790754858,723165.5516579943,-73.91156646,6.541242775
362,620419.4724561127,723165.7252819252,-73.91084122,6.541242775000001
363,620499.6658556621,723165.899021575,-73.91011598,6.541242774999999
364,620579.8592741495,723166.0728769444,-73.90939074,6.541242775
365,620660.0527115861,723166.2468480333,-73.9086655,6.541242774999999
366,620740.2461679832,723166.4209348417,-73.90794026,6.541242775000001
367,620820.4396433573,723166.5951373699,-73.90721502,6.541242775
368,620900.6331377157,723166.7694556179,-73.90648978,6.541242774999998
369,620980.8266510736,723166.9438895859,-73.90576454,6.541242774999998
370,621061.0201834453,723167.1184392741,-73.9050393,6.541242775
371,621141.2137348418,723167.2931046828,-73.90431406,6.541242775
372,621221.4073052757,723167.4678858118,-73.90358882,6.541242775
373,621301.6008947581,723167.6427826614,-73.90286358,6.541242775000001
374,621381.7945033048,723167.8177952315,-73.90213834,6.541242774999999
375,621461.9881309266,723167.9929235227,-73.9014131,6.541242774999999
376,621542.181777635,723168.168167535,-73.90068786,6.541242775000001
377,621622.3754434452,723168.3435272682,-73.89996262,6.541242775
378,616650.8032909832,722967.2516550206,-73.9449275,6.53952033
379,616730.9960894932,722967.4199124691,-73.94420226,6.539520330000001
380,616811.1889063447,722967.5882856005,-73.94347702,6.539520330000001
381,616891.3817415545,722967.756774415,-73.94275178,6.53952033
382,616971.5745951339,722967.9253789127,-73.94202654,6.53952033
383,617051.7674670941,722968.0940990938,-73.9413013,6.53952033
384,617131.9603574503,722968.2629349584,-73.94057606,6.539520329999999
385,617212.1532662126,722968.4318865067,-73.93985082,6.539520329999999
386,617292.3461933975,722968.6009537386,-73.93912558,6.539520329999999
387,617372.5391390123,722968.7701366546,-73.93840034,6.539520329999999
388,617452.7321030723,722968.9394352547,-73.9376751,6.539520329999999
389,617532.9250855915,722969.1088495388,-73.93694986,6.53952033
390,617613.118086581,722969.2783795072,-73.93622462,6.539520329999999
391,617693.3111060535,722969.4480251604,-73.93549938,6.539520330000002
392,617773.5041440203,722969.6177864979,-73.93477414,6.539520330000001
393,617853.6972004981,722969.7876635202,-73.9340489,6.539520330000001
394,617933.890275494,722969.9576562272,-73.93332366,6.539520329999999
395,618014.0833690232,722970.1277646193,-73.93259842,6.53952033
396,618094.2764810999,722970.2979886965,-73.93187318,6.53952033
397,618174.4696117352,722970.4683284591,-73.93114794,6.539520329999999
398,618254.6627609418,722970.638783907,-73.9304227,6.539520330000001
399,618334.8559287309,722970.8093550404,-73.92969746,6.53952033
400,618415.0491151165,722970.9800418594,-73.92897222,6.539520329999999
401,618495.2423201139,722971.1508443644,-73.92824698,6.539520329999998
402,618575.4355437303,722971.3217625553,-73.92752174,6.539520329999998
403,618655.6287859824,722971.4927964323,-73.9267965,6.53952033
404,618735.8220468799,722971.6639459955,-73.92607126,6.53952033
405,618816.0153264384,722971.835211245,-73.92534602,6.53952033
406,618896.208624669,722972.006592181,-73.92462078,6.53952033
407,618976.4019415829,722972.1780888038,-73.92389554,6.53952033
408,619056.595277197,722972.3497011132,-73.9231703,6.539520330000002
409,619136.7886315183,722972.5214291095,-73.92244506,6.53952033
410,619216.982004562,722972.693272793,-73.92171982,6.53952033
411,619297.1753963424,722972.8652321635,-73.92099458,6.53952033
412,619377.3688068705,722973.0373072213,-73.92026934,6.539520329999999
413,619457.5622361591,722973.2094979667,-73.9195441,6.539520330000001
414,619537.7556842192,722973.3818043994,-73.91881886,6.539520329999999
415,619617.9491510662,722973.5542265202,-73.91809362000001,6.53952033
416,619698.1426367117,722973.7267643287,-73.91736838,6.539520329999999
417,619778.3361411664,722973.8994178253,-73.91664314,6.539520330000001
418,619858.5296644459,722974.0721870098,-73.9159179,6.53952033
419,619938.7232065601,722974.2450718828,-73.91519266000002,6.539520330000001
420,620018.9167675258,722974.4180724442,-73.91446742,6.53952033
421,620099.1103473499,722974.5911886941,-73.91374218,6.539520330000001
422,620179.3039460478,722974.7644206326,-73.91301694,6.53952033
423,620259.4975636351,722974.9377682601,-73.9122917,6.53952033
424,620339.6912001186,722975.1112315765,-73.91156646,6.539520329999999
425,620419.8848555152,722975.284810582,-73.91084122,6.539520329999999
426,620500.0785298346,722975.4585052767,-73.91011598,6.539520329999998
427,620580.2722230925,722975.6323156611,-73.90939074,6.539520330000002
428,620660.4659352998,722975.8062417347,-73.9086655,6.539520330000001
429,620740.6596664678,722975.980283498,-73.90794026,6.53952033
430,620820.8534166133,722976.1544409512,-73.90721502,6.539520330000001
431,620901.0471857433,722976.3287140942,-73.90648978,6.539520330000001
432,620981.2409738734,722976.5031029272,-73.90576454,6.539520329999999
433,621061.4347810174,722976.6776074509,-73.9050393,6.539520330000001
434,621141.6286071865,722976.8522276646,-73.90431406,6.539520330000001
435,621221.8224523935,722977.0269635686,-73.90358882,6.539520329999999
436,621302.0163166493,722977.2018151637,-73.90286358,6.539520330000003
437,621382.2101999696,722977.3767824492,-73.90213834,6.53952033
438,621462.4041023655,722977.5518654259,-73.9014131,6.53952033
439,621542.5980238481,722977.7270640936,-73.90068786,6.539520330000001
440,621622.791964433,722977.9023784522,-73.89996262,6.539520329999998
441,616651.2026717854,722776.8132753688,-73.9449275,6.537797884999998
442,616731.3957449781,722776.9814892685,-73.94420226,6.537797884999999
443,616811.5888365128,722777.1498188215,-73.94347702,6.537797884999999
444,616891.7819464059,722777.3182640275,-73.94275178,6.537797885
445,616971.975074669,722777.4868248866,-73.94202654,6.537797884999999
446,617052.1682213132,722777.6555013994,-73.9413013,6.537797884999999
447,617132.3613863537,722777.8242935656,-73.94057606,6.537797884999998
448,617212.5545698006,722777.9932013857,-73.93985082,6.537797884999999
449,617292.7477716706,722778.1622248593,-73.93912558,6.537797884999999
450,617372.9409919707,722778.3313639874,-73.93840034,6.537797885
451,617453.1342307163,722778.5006187692,-73.9376751,6.537797885
452,617533.3274879213,722778.6699892053,-73.93694986,6.537797884999999
453,617613.5207635972,722778.8394752959,-73.93622462,6.537797884999999
454,617693.7140577564,722779.0090770408,-73.93549938,6.537797884999999
455,617773.90737041,722779.1787944406,-73.93477414,6.537797884999999
456,617854.100701575,722779.348627495,-73.9340489,6.537797885
457,617934.2940512584,722779.5185762043,-73.93332366,6.537797884999999
458,618014.4874194756,722779.6886405688,-73.93259842,6.537797884999999
459,618094.6808062404,722779.8588205884,-73.93187318,6.537797884999999
460,618174.8742115643,722780.0291162633,-73.93114794,6.537797884999999
461,618255.0676354598,722780.1995275938,-73.9304227,6.537797884999999
462,618335.261077938,722780.3700545797,-73.92969746,6.537797884999999
463,618415.4545390131,722780.5406972214,-73.92897222,6.537797885
464,618495.6480187003,722780.7114555192,-73.92824698,6.537797884999999
465,618575.8415170069,722780.8823294726,-73.92752174,6.537797884999999
466,618656.0350339494,722781.0533190824,-73.9267965,6.537797884999999
467,618736.2285695376,722781.2244243483,-73.92607126,6.537797884999999
468,618816.4221237873,722781.3956452709,-73.92534602,6.537797885000001
469,618896.6156967094,722781.5669818498,-73.92462078,6.537797884999999
470,618976.809288315,722781.7384340855,-73.92389554,6.537797884999999
471,619057.0028986213,722781.9100019782,-73.9231703,6.537797885
472,619137.1965276349,722782.0816855275,-73.92244506,6.537797884999999
473,619217.3901753714,722782.2534847341,-73.92171982,6.537797884999998
